Date,Daily Cases,Total Deaths
2020-02-29,5,1
2020-03-01,18,2
2020-03-02,15,6
2020-03-03,28,9
2020-03-04,26,11
2020-03-05,64,11
2020-03-06,77,14
2020-03-07,101,19
2020-03-08,144,21
2020-03-09,148,26
2020-03-10,291,31
2020-03-11,269,37
2020-03-12,393,41
2020-03-13,565,49
2020-03-14,662,56
2020-03-15,676,62
2020-03-16,872,76
2020-03-17,1291,97
2020-03-18,2410,123
2020-03-19,3948,175
2020-03-20,5417,230
2020-03-21,6271,298
2020-03-22,8631,408
2020-03-23,10410,519
2020-03-24,9939,681
2020-03-25,12226,906
2020-03-26,17050,1159
2020-03-27,19046,1592
2020-03-28,20093,2039
2020-03-29,19118,2431
2020-03-30,20463,2986
2020-03-31,25305,3807
2020-04-01,26756,4747
2020-04-02,28879,5822
2020-04-03,32525,7007
2020-04-04,33725,8360
2020-04-05,25717,9535
2020-04-06,29359,10747
2020-04-07,30512,12674
2020-04-08,32282,14610
2020-04-09,34243,16466
2020-04-10,33578,18544
2020-04-11,31869,20443
2020-04-12,28057,21936
2020-04-13,24685,23398
2020-04-14,25987,25776
2020-04-15,29465,28214
2020-04-16,32076,30355
2020-04-17,30915,32435
2020-04-18,28084,34178
2020-04-19,26013,35812
2020-04-20,25132,37455
2020-04-21,25178,40079
2020-04-22,29246,42198
2020-04-23,31277,44038
2020-04-24,35930,46091
2020-04-25,34782,47916
2020-04-26,26858,49077
2020-04-27,22042,50314
2020-04-28,24359,52518
2020-04-29,25869,55054
2020-04-30,29637,57137
2020-05-01,32964,58931
2020-05-02,30531,60599
2020-05-03,25382,61716
2020-05-04,21278,62593
2020-05-05,22226,65028
2020-05-06,24805,67729
2020-05-07,27514,69700
2020-05-08,27095,71395
2020-05-09,25537,72950
2020-05-10,20687,73895
2020-05-11,17777,74735
2020-05-12,21436,76326
2020-05-13,20481,78041
2020-05-14,26742,79899
2020-05-15,25335,81423
2020-05-16,24482,82654
2020-05-17,19692,83439
2020-05-18,21100,84231
2020-05-19,19658,85656
2020-05-20,22344,87184
2020-05-21,24942,88470
2020-05-22,22209,89732
2020-05-23,22695,90821
2020-05-24,20243,91467
2020-05-25,18543,91971
2020-05-26,16653,92605
2020-05-27,18666,93984
2020-05-28,22980,95200
2020-05-29,23497,96375
2020-05-30,23826,97354
2020-05-31,21686,97959
2020-06-01,16040,98437
2020-06-02,20039,99476
2020-06-03,19679,100480
2020-06-04,20975,101389
2020-06-05,23288,102238
2020-06-06,23381,102963
2020-06-07,18535,103411
2020-06-08,16301,103902
2020-06-09,17180,104828
2020-06-10,20246,105689
2020-06-11,17848,106501
2020-06-12,24422,107259
